mrid,name,from_node,to_node,from_name,to_name,r_ohm,x_ohm,bch_s,length_km,kv,container
384bc489-05dc-4d68-b2fd-048cab1a1854,33kV Line SWAW3_#1L5-RAVE32[sec]0,29eb7e0a-a534-4c5e-82b9-e9e6218b2cb1,9d5e9362-de6e-4ec4-b285-2ff3ee4a0acc,SWAW3_#1L5,RAVE32,0.195923,0.265626,0.000212674,2.357,33.0,995d51f4-aded-4c0d-8488-0b681878c42a
b22b75fb-52db-48d3-afe7-ff689959b411,33kV Line SWAW3_#2L5-UPLT32[sec]0,b6f419d8-4713-49d5-8924-2a844c284a5e,1c5ee960-ccad-418b-9a93-59bcbb50a0c9,SWAW3_#2L5,UPLT32,0.152255,0.216224,0.000261914,2.23,33.0,8fefc5a1-541d-42f4-8214-110d7da693b6
18d4ac44-4024-476d-bf64-e3dbdec289b1,33kV Line SWAW3_#3L5-TSKT3_MAIN1[sec]0,c97ca7a7-da04-456f-b0ae-4798a1637f6f,2d807d9f-7021-4413-8dfe-b3ea056f1e27,SWAW3_#3L5,TSKT3_MAIN1,0.178323,0.200409,0.000210629,1.974,33.0,e4e0decf-8827-4931-90ef-89e082bad91e
8f2bc0e3-c7b8-41ae-a945-5055c5e86a15,33kV Line SWAW3_#4L5-TSKT3_MAIN2[sec]0,22e0db28-3cfa-47e4-9a2d-01acdb21fef3,4814d64a-9089-4c75-a594-ed04aabb29b7,SWAW3_#4L5,TSKT3_MAIN2,0.178675,0.200711,0.000211001,1.977,33.0,3233dbd7-f439-4d98-b169-73eae1690222
abee67ec-b9c7-4bb0-8da4-3af9d6e90990,33kV Line SWAW3_#5L5-UPLT31[sec]0,411614c2-484b-4693-89f6-c217eb1cba73,c9cc5d5c-c3f6-4143-b3ad-50e692eeac86,SWAW3_#5L5,UPLT31,0.155337,0.220646,0.000267375,2.276,33.0,399ac590-165e-4a06-ac3b-24b9562a3735
aafccf02-5317-4c74-b322-6b4e9701823b,33kV Line SWAW3_#6L5-RAVE3T[sec]0,7a6a7cc1-5ea2-4090-9a82-2288942b690f,642aa66d-c044-457d-9255-b871ab0f2849,SWAW3_#6L5,RAVE3T,0.196176,0.266246,0.000212463,2.361,33.0,72a392d6-3c3e-469b-a0d7-df5f619977c8
692669ac-d956-4a2a-983e-11a289e56a59,33kV Line SWAW3_#7L5-SWAT3T[sec]0,652d060c-e238-45c9-bd81-b7a948065581,abe5e2f3-8ddb-4f36-9c7a-edecb6562c3e,SWAW3_#7L5,SWAT3T,0.236661,0.262885,0.00027337,2.577,33.0,5a439d72-0b36-4da1-8cc7-24617d74aa50
70a77256-d2e7-4222-87ac-5476a0d60790,33kV Line SWAW3_#8L5-SWAT31[sec]0,76415037-595f-41b9-9be9-99bf9f0237ff,a0d908a1-aaae-431e-af58-153677061097,SWAW3_#8L5,SWAT31,0.248292,0.290186,0.000265657,2.683,33.0,8ca3691d-cc6f-4d01-a244-b92fa5738762
1796d6df-661c-4c63-ad3e-56eafc437a75,33kV Line TIRJ3_#10L5-GETH31[sec]0,067a6e51-1675-468c-868c-8c9e5118e4d1,148b815e-95d4-40a3-ac4f-b38496cf7732,TIRJ3_#10L5,GETH31,0.350508,0.564851,0.000340573,4.567,33.0,c57d7e6f-2f56-4365-8227-49e84b53175b
d2e9a6e4-b2ee-46ac-b9ba-f17e24392ab0,33kV Line TIRJ3_#11L5-TIRJ33[sec]0,d9fdf18c-5220-49ce-ac0a-c8043ff72f1a,f7303d06-57a7-4f5c-b3ba-31c757a8935e,TIRJ3_#11L5,TIRJ33,0.0120661,0.0177725,1.14784e-05,0.147,33.0,1181274a-06a0-4c40-abb2-61836d03387d
951aa48f-cc48-4d9e-9c6d-025f1cd546bf,33kV Line TIRJ3_#12L5-STRA32[sec]0,1aaa5886-f885-4bee-838f-02605f7a2978,bf67ca76-d558-487a-a9d0-7b32938432df,TIRJ3_#12L5,STRA32,0.41377,0.442602,0.000389343,3.967,33.0,2a0ec5ac-f2ec-4219-b035-6d02ff7e5439
78ce0b67-4e09-4277-8ead-bf9e18d52630,33kV Line TIRJ3_#13L5-SWWF32[sec]0,844b6675-5882-4f01-a3ed-3c78486912e2,6470d46f-f729-4e06-b6bf-59c313cb047a,TIRJ3_#13L5,SWWF32,0.109722,0.189131,0.000187049,1.756,33.0,2283f9ad-db13-469b-b860-1c7ef9ffa993
ca592727-5cbd-4519-a9c5-35defee35e61,33kV Line TIRJ3_#14L5-TIRJ34[sec]0,94c6847e-0c2b-4f60-a101-e5d56b20bd69,9e275efa-6db7-4c85-b2de-4f2125dcb568,TIRJ3_#14L5,TIRJ34,0.0146253,0.0210613,1.39578e-05,0.176,33.0,5f2e2f70-b1a7-42f5-9782-d7c5d64a8e3b
725ab5a9-7347-4633-b1eb-85b65e493f3a,33kV Line TIRJ3_#1L5-STRA31[sec]0,96ca24f9-afc6-44a9-a3ed-03955ebe5b79,a454398c-e949-4185-918e-736b09f6392f,TIRJ3_#1L5,STRA31,0.411261,0.439747,0.000387028,3.942,33.0,f2dd2c6e-2100-4788-8aac-822ec1a65d5b
6a5f3c85-d231-4d0d-9c2e-c38e9f93a624,33kV Line TIRJ3_#2L5-FORT32[sec]0,65cc8c07-ac00-4592-84d6-9fca3702d3c7,e03c090e-3644-4530-9652-3c75e5c4b740,TIRJ3_#2L5,FORT32,0.175483,0.36178,0.000121846,1.562,33.0,26f477b4-ad0a-48e0-8244-fc2b1123d44b
27ecd200-a14a-49f6-a659-f4e70bac7e1d,33kV Line TIRJ3_#3L5-UPBK32[sec]0,6e15fc9f-a658-4022-823d-941140f3cee0,88478255-a542-43ab-8813-ea0d21784565,TIRJ3_#3L5,UPBK32,0.443492,0.398016,0.000313207,3.598,33.0,6b8df87b-08af-4cc2-bb47-29a3401adf58
8684c157-cfa7-44a4-8744-6f34480d34fe,33kV Line TIRJ3_#4L5-UPBK31[sec]0,ff9251d9-edac-4dd7-8b45-96480bc34dc3,17483848-e8f5-4f78-9a21-75c0b4d31654,TIRJ3_#4L5,UPBK31,0.466647,0.404991,0.000317012,3.649,33.0,3980e5f6-3fa8-4cbf-8384-71bd49fa373a
