substation,zone,technology,capacity_mw,curtailment_pct,curtailed_mwh,total_mwh,delivered_mwh,curtailed_hours,binding_branch,n_sensitive_branches
RAVE,swansea-north,Wind,30,46.32,35132,75855,40722,8278,SWAW3_#6L5->RAVE3T,34
RAVE,swansea-north,Wind,50,63.26,79974,126425,46451,10647,SWAW3_#6L5->RAVE3T,34
RAVE,swansea-north,BESS,5,6.36,1285,20203,18918,895,SWAW3_#2T0->SWAW1_213,34
RAVE,swansea-north,BESS,10,21.9,8848,40406,31559,5140,SWAW3_#6L5->RAVE3T,34
RAVE,swansea-north,BESS,20,41.91,33870,80812,46943,5415,SWAW3_#6L5->RAVE3T,34
RAVE,swansea-north,BESS,30,50.08,60711,121219,60508,11544,SWAW3_#6L5->RAVE3T,34
RAVE,swansea-north,BESS,50,69.02,139442,202031,62589,17568,SWAW3_#6L5->RAVE3T,34
REDC,swansea-north,PV,5,0.0,0,5564,5564,0,None,31
REDC,swansea-north,PV,10,0.0,0,11128,11128,0,None,31
REDC,swansea-north,PV,20,0.0,0,22257,22257,0,None,31
REDC,swansea-north,PV,30,0.0,0,33385,33385,0,None,31
REDC,swansea-north,PV,50,4.63,2574,55642,53068,892,CARM3_1L3B->REDC3_#1L5,31
REDC,swansea-north,Wind,5,0.0,0,12642,12642,0,None,31
REDC,swansea-north,Wind,10,0.0,0,25285,25285,0,None,31
REDC,swansea-north,Wind,20,0.0,0,50570,50570,0,None,31
REDC,swansea-north,Wind,30,0.0,0,75855,75855,0,None,31
REDC,swansea-north,Wind,50,6.3,7962,126425,118463,2407,CARM3_1L3B->REDC3_#1L5,31
REDC,swansea-north,BESS,5,0.0,0,20203,20203,0,None,31
REDC,swansea-north,BESS,10,0.0,0,40406,40406,0,None,31
REDC,swansea-north,BESS,20,0.0,0,80812,80812,0,None,31
REDC,swansea-north,BESS,30,0.28,337,121219,120882,912,CARM3_1L3B->REDC3_#1L5,31
REDC,swansea-north,BESS,50,23.21,46881,202031,155150,4919,CARM3_1L3B->REDC3_#1L5,31
RGOS,swansea-north,PV,5,0.41,23,5564,5542,21,HIRW3_2L5->HNDR3T,36
RGOS,swansea-north,PV,10,0.67,75,11128,11054,39,HIRW3_2L5->HNDR3T,36
RGOS,swansea-north,PV,20,1.69,377,22257,21880,141,HIRW3_2L5->HNDR3T,36
RGOS,swansea-north,PV,30,4.03,1347,33385,32038,434,HIRW3_2L5->HNDR3T,36
RGOS,swansea-north,PV,50,16.07,8940,55642,46702,1726,HIRW3_7L5->RGOS3_#1L5,36
RGOS,swansea-north,Wind,5,0.08,10,12642,12633,12,HIRW3_2L5->HNDR3T,36
RGOS,swansea-north,Wind,10,0.1,26,25285,25259,18,HIRW3_2L5->HNDR3T,36
RGOS,swansea-north,Wind,20,0.15,76,50570,50494,35,HIRW3_2L5->HNDR3T,36
RGOS,swansea-north,Wind,30,0.99,753,75855,75102,750,HIRW3_7L5->RGOS3_#1L5,36
RGOS,swansea-north,Wind,50,15.65,19786,126425,106638,4174,HIRW3_7L5->RGOS3_#1L5,36
RGOS,swansea-north,BESS,5,0.04,7,20203,20196,13,HIRW3_2L5->HNDR3T,36
RGOS,swansea-north,BESS,10,0.06,24,40406,40382,20,HIRW3_2L5->HNDR3T,36
RGOS,swansea-north,BESS,20,0.15,124,80812,80688,59,HIRW3_2L5->HNDR3T,36
RGOS,swansea-north,BESS,30,11.99,14537,121219,106682,4958,HIRW3_7L5->RGOS3_#1L5,36
RGOS,swansea-north,BESS,50,31.62,63878,202031,138153,5009,HIRW3_7L5->RGOS3_#1L5,36
RHYD,swansea-north,PV,5,0.0,0,5564,5564,0,None,27
RHYD,swansea-north,PV,10,0.0,0,11128,11128,0,None,27
RHYD,swansea-north,PV,20,0.0,0,22257,22257,0,None,27
RHYD,swansea-north,PV,30,0.0,0,33385,33385,0,None,27
RHYD,swansea-north,PV,50,0.0,0,55642,55642,0,None,27
RHYD,swansea-north,Wind,5,0.0,0,12642,12642,0,None,27
RHYD,swansea-north,Wind,10,0.0,0,25285,25285,0,None,27
RHYD,swansea-north,Wind,20,0.0,0,50570,50570,0,None,27
RHYD,swansea-north,Wind,30,0.0,0,75855,75855,0,None,27
RHYD,swansea-north,Wind,50,0.0,0,126425,126425,0,None,27
RHYD,swansea-north,BESS,5,0.0,0,20203,20203,0,None,27
RHYD,swansea-north,BESS,10,0.0,0,40406,40406,0,None,27
RHYD,swansea-north,BESS,20,0.0,0,80812,80812,0,None,27
RHYD,swansea-north,BESS,30,0.0,0,121219,121219,0,None,27
RHYD,swansea-north,BESS,50,0.0,0,202031,202031,1,RHYD1_113->RHYD3_1T0,27
Rhos,swansea-north,PV,5,0.0,0,5564,5564,0,None,39
Rhos,swansea-north,PV,10,0.0,0,11128,11128,0,None,39
Rhos,swansea-north,PV,20,0.0,0,22257,22257,0,None,39
Rhos,swansea-north,PV,30,0.01,4,33385,33381,6,LAMP3_2L5->LWNI3_2L3,39
Rhos,swansea-north,PV,50,0.33,185,55642,55457,35,LAMP3_2L5->LWNI3_2L3,39
Rhos,swansea-north,Wind,5,0.0,0,12642,12642,0,None,39
Rhos,swansea-north,Wind,10,0.0,0,25285,25285,0,None,39
Rhos,swansea-north,Wind,20,0.0,0,50570,50570,0,None,39
Rhos,swansea-north,Wind,30,0.0,0,75855,75855,0,None,39
Rhos,swansea-north,Wind,50,0.0,0,126425,126425,0,None,39
Rhos,swansea-north,BESS,5,0.0,0,20203,20203,0,None,39
Rhos,swansea-north,BESS,10,0.0,0,40406,40406,0,None,39
Rhos,swansea-north,BESS,20,0.0,0,80812,80812,0,None,39
Rhos,swansea-north,BESS,30,0.04,42,121219,121176,17,LAMP3_2L5->LWNI3_2L3,39
Rhos,swansea-north,BESS,50,0.24,484,202031,201547,146,RHOS3_#1T0->RHOS1_#110,39
SOFI,swansea-north,PV,5,0.0,0,5564,5564,0,None,20
SOFI,swansea-north,PV,10,0.0,0,11128,11128,0,None,20
SOFI,swansea-north,PV,20,1.68,375,22257,21882,474,SOFI3_#2L5->BRIF3_#12L5,20
SOFI,swansea-north,PV,30,12.76,4261,33385,29124,1686,SOFI3_#2L5->BRIF3_#12L5,20
SOFI,swansea-north,PV,50,33.14,18437,55642,37205,3134,SOFI3_#2L5->BRIF3_#12L5,20
SOFI,swansea-north,Wind,5,0.0,0,12642,12642,0,None,20
SOFI,swansea-north,Wind,10,0.0,0,25285,25285,0,None,20
SOFI,swansea-north,Wind,20,2.38,1204,50570,49366,1347,SOFI3_#2L5->BRIF3_#12L5,20
SOFI,swansea-north,Wind,30,14.84,11258,75855,64597,3963,SOFI3_#2L5->BRIF3_#12L5,20
SOFI,swansea-north,Wind,50,36.11,45655,126425,80769,7196,SOFI3_#2L5->BRIF3_#12L5,20
SOFI,swansea-north,BESS,5,0.0,0,20203,20203,0,None,20
SOFI,swansea-north,BESS,10,0.0,0,40406,40406,0,None,20
SOFI,swansea-north,BESS,20,16.16,13056,80812,67756,4919,SOFI3_#2L5->BRIF3_#12L5,20
SOFI,swansea-north,BESS,30,31.06,37651,121219,83567,4919,SOFI3_#2L5->BRIF3_#12L5,20
SOFI,swansea-north,BESS,50,42.98,86841,202031,115190,4919,SOFI3_#1L5->BRIF3_#11L5,20
STCL,swansea-north,PV,5,0.17,9,5564,5555,88,CARM3_4L5->STCL3_MAIN1,34
STCL,swansea-north,PV,10,16.2,1802,11128,9326,2011,CARM3_4L5->STCL3_MAIN1,34
STCL,swansea-north,PV,20,44.96,10006,22257,12251,4071,CARM3_4L5->STCL3_MAIN1,34
STCL,swansea-north,PV,30,59.24,19777,33385,13609,4970,CARM3_4L5->STCL3_MAIN1,34
STCL,swansea-north,PV,50,73.05,40645,55642,14997,6029,CARM3_4L5->STCL3_MAIN1,34
STCL,swansea-north,Wind,5,0.05,7,12642,12636,62,CARM3_4L5->STCL3_MAIN1,34
STCL,swansea-north,Wind,10,16.17,4089,25285,21196,4627,CARM3_4L5->STCL3_MAIN1,34
STCL,swansea-north,Wind,20,46.66,23598,50570,26972,9052,CARM3_4L5->STCL3_MAIN1,34
STCL,swansea-north,Wind,30,61.41,46582,75855,29273,10972,CARM3_4L5->STCL3_MAIN1,34
STCL,swansea-north,Wind,50,75.16,95017,126425,31407,12831,CARM3_4L5->STCL3_MAIN1,34
STCL,swansea-north,BESS,5,12.2,2465,20203,17738,4468,CARM3_4L5->STCL3_MAIN1,34
STCL,swansea-north,BESS,10,36.39,14703,40406,25703,4932,CARM3_4L5->STCL3_MAIN1,34
STCL,swansea-north,BESS,20,54.65,44168,80812,36644,15689,CARM3_4L5->STCL3_MAIN1,34
STCL,swansea-north,BESS,30,69.5,84250,121219,36969,17568,CARM3_4L5->STCL3_MAIN1,34
STCL,swansea-north,BESS,50,81.7,165063,202031,36969,17568,CARM3_4L5->STCL3_MAIN1,34
SWAU,swansea-north,PV,5,0.19,11,5564,5554,68,SWAW3_#2T0->SWAW1_213,35
SWAU,swansea-north,PV,10,15.89,1768,11128,9361,2248,SWAW3_#3L5->TSKT3_MAIN1,35
SWAU,swansea-north,PV,20,46.0,10237,22257,12020,4229,SWAW3_#3L5->TSKT3_MAIN1,35
SWAU,swansea-north,PV,30,60.31,20134,33385,13251,5143,SWAW3_#3L5->TSKT3_MAIN1,35
SWAU,swansea-north,PV,50,73.95,41145,55642,14497,6158,SWAW3_#3L5->TSKT3_MAIN1,35
SWAU,swansea-north,Wind,5,5.66,715,12642,11927,1386,SWAW3_#3L5->TSKT3_MAIN1,35
SWAU,swansea-north,Wind,10,25.11,6350,25285,18935,5200,SWAW3_#3L5->TSKT3_MAIN1,35
SWAU,swansea-north,Wind,20,51.33,25959,50570,24611,8960,SWAW3_#3L5->TSKT3_MAIN1,35
SWAU,swansea-north,Wind,30,64.19,48694,75855,27160,10737,SWAW3_#3L5->TSKT3_MAIN1,35
SWAU,swansea-north,Wind,50,76.58,96819,126425,29606,12585,SWAW3_#3L5->TSKT3_MAIN1,35
SWAU,swansea-north,BESS,5,15.62,3156,20203,17048,4707,SWAW3_#3L5->TSKT3_MAIN1,35
SWAU,swansea-north,BESS,10,38.44,15533,40406,24874,5144,SWAW3_#3L5->TSKT3_MAIN1,35
SWAU,swansea-north,BESS,20,55.23,44632,80812,36180,15641,SWAW3_#3L5->TSKT3_MAIN1,35
SWAU,swansea-north,BESS,30,70.0,84847,121219,36371,17568,SWAW3_#3L5->TSKT3_MAIN1,35
SWAU,swansea-north,BESS,50,82.0,165660,202031,36371,17568,SWAW3_#3L5->TSKT3_MAIN1,35
Swansea North,swansea-north,PV,5,0.0,0,5564,5564,0,None,8
Swansea North,swansea-north,PV,10,0.0,0,11128,11128,0,None,8
Swansea North,swansea-north,PV,20,0.0,0,22257,22257,0,None,8
Swansea North,swansea-north,PV,30,0.0,0,33385,33385,0,None,8
Swansea North,swansea-north,PV,50,0.0,0,55642,55642,0,None,8
Swansea North,swansea-north,Wind,5,0.0,0,12642,12642,0,None,8
Swansea North,swansea-north,Wind,10,0.0,0,25285,25285,0,None,8
Swansea North,swansea-north,Wind,20,0.0,0,50570,50570,0,None,8
Swansea North,swansea-north,Wind,30,0.0,0,75855,75855,0,None,8
Swansea North,swansea-north,Wind,50,0.0,0,126425,126425,0,None,8
Swansea North,swansea-north,BESS,5,0.0,0,20203,20203,0,None,8
Swansea North,swansea-north,BESS,10,0.0,0,40406,40406,0,None,8
Swansea North,swansea-north,BESS,20,0.0,0,80812,80812,0,None,8
Swansea North,swansea-north,BESS,30,0.0,0,121219,121219,0,None,8
Swansea North,swansea-north,BESS,50,0.0,0,202031,202031,0,None,8
Swansea West,swansea-north,PV,5,0.18,10,5564,5554,62,SWAW3_#2T0->SWAW1_213,33
Swansea West,swansea-north,PV,10,0.27,30,11128,11098,77,SWAW3_#2T0->SWAW1_213,33
Swansea West,swansea-north,PV,20,0.55,122,22257,22135,143,SWAW3_#2T0->SWAW1_213,33
Swansea West,swansea-north,PV,30,2.2,735,33385,32650,607,SWAW3_#2T0->SWAW1_213,33
