substation,technology,capacity_mw,curtailment_pct,binding_branch,confidence,confidence_reason,model_residual_mw,pel_mw,residual_pct_of_pel,model_residual_std,model_max_residual
MACH,PV,5,3.24,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MACH,PV,10,3.66,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MACH,PV,20,4.54,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MACH,PV,30,5.52,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MACH,PV,50,8.54,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MACH,Wind,5,11.01,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MACH,Wind,10,12.29,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MACH,Wind,20,14.91,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MACH,Wind,30,17.85,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MACH,Wind,50,26.47,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MACH,BESS,5,8.76,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MACH,BESS,10,10.96,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MACH,BESS,20,15.04,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
