Half Hour,Wind,PV,BESS Export pu,BESS Import pu,Other
2024-09-25T01:00:00.000000000,0.05274363222105672,0.0,0.25,-1.0,1.0
2024-09-25T01:30:00.000000000,0.0445092586849791,0.0,0.25,-1.0,1.0
2024-09-25T02:00:00.000000000,0.03304201247286081,0.0,0.25,-1.0,1.0
2024-09-25T02:30:00.000000000,0.02676991171096223,0.0,0.25,-1.0,1.0
2024-09-25T03:00:00.000000000,0.02899512147913709,0.0,0.25,-1.0,1.0
2024-09-25T03:30:00.000000000,0.0026350790665549814,0.0,1.0,-1.0,1.0
2024-09-25T04:00:00.000000000,0.0010389720537721048,0.0,0.25,-1.0,1.0
2024-09-25T04:30:00.000000000,0.00048784141994626047,0.0,0.25,-1.0,1.0
2024-09-25T05:00:00.000000000,0.0014842457911030068,0.0,0.25,-1.0,1.0
2024-09-25T05:30:00.000000000,0.00006361053390441457,0.0,0.25,-1.0,1.0
2024-09-25T06:00:00.000000000,0.00046134435637189405,0.0,0.25,-1.0,1.0
2024-09-25T06:30:00.000000000,0.0015802117048592463,0.0,0.25,-1.0,1.0
2024-09-25T07:00:00.000000000,0.018591924790402357,0.0,1.0,-1.0,1.0
2024-09-25T07:30:00.000000000,0.0271147977598787,0.002666908889222493,1.0,-1.0,1.0
2024-09-25T08:00:00.000000000,0.0487203573810955,0.013804901332093132,0.25,-1.0,1.0
2024-09-25T08:30:00.000000000,0.09594108706614929,0.027036223850356884,0.25,-1.0,1.0
2024-09-25T09:00:00.000000000,0.10265389166178299,0.03543434355016581,0.25,-1.0,1.0
2024-09-25T09:30:00.000000000,0.10962899330901879,0.07809171512172108,0.25,-1.0,1.0
2024-09-25T10:00:00.000000000,0.14248371916941252,0.0878228096726843,0.25,-1.0,1.0
2024-09-25T10:30:00.000000000,0.14658217847639554,0.12242690792836516,1.0,-1.0,1.0
2024-09-25T11:00:00.000000000,0.16408055748175354,0.18875696062106365,1.0,-1.0,1.0
2024-09-25T11:30:00.000000000,0.17121732764172862,0.3185447567558212,0.25,-1.0,1.0
