branch,published_sf,mean_implied,std_implied,p5,p95,n_obs,sign_correct,magnitude_error_pct,instability_pct,range_p5_p95
82VE35W->SWAN1_105,-0.09250000000000001,0.04065711306776093,0.07786184588907001,-0.0640879651768097,0.17974247469529517,2395,False,-56.04636425106927,84.17496852872432,0.24383043987210487
82VE35W->TIRJ1_103,0.5156,-0.02938550664563124,0.042424926968920036,-0.1068708477020858,0.031768031843437156,2395,False,-94.30071632163863,8.228263570387906,0.13863887954552295
82W10N->TROS1_103,0.495,0.031043078565490257,0.03384901167255718,-0.03123009866934842,0.07998108039918356,2395,True,-93.72867099687065,6.838184176274178,0.11121117906853198
82W23DW->LLEL1_205,-0.0699,-0.05008021212581173,0.100402420832456,-0.2140303355407368,0.11532947337427639,2395,True,-28.354489090398104,143.637225797505,0.3293598089150132
82W23DW->W38_1NE,0.0699,0.050080292912465595,0.10040276073009484,-0.1153288285011384,0.21403058498826913,2395,True,-28.35437351578599,143.6377120602215,0.32935941348940756
ABEC3_2L5->TRAV3_#1L5,0.05027912087912088,-0.002102829707606196,0.008246365083428346,-0.01545595042395908,0.012082409660859324,2395,False,-95.81768799684916,16.401171976045365,0.027538360084818404
ABNT3->52L6047P38A,0.0789,-0.0012346783762789454,0.002526489619950957,-0.005670451898332898,0.002291727380474412,2395,False,-98.43513513779602,3.202141470153305,0.00796217927880731
AMMA1_#110->AMMA3_#1T0,0.4929,0.03633208764906046,0.025658859820221164,-0.008087637023240465,0.07564891046255792,2395,True,-92.62891303528902,5.205692801830222,0.08373654748579838
AMMA3_#2T0->AMMA1_#210,-0.43119999999999997,-0.026276802697479937,0.02424333261861477,-0.06164944191144439,0.016749956280755054,2395,True,-93.90612182340446,5.622294206543314,0.07839939819219945
BARN3_2L9->TSNC3,0.0728,-0.00191705386911068,0.0022465209081806753,-0.005488801264342,0.0019108555552041805,2395,False,-97.3666842457271,3.085880368380048,0.007399656819546181
BRHY3_#1L5->AMMA3_3L5,-1.0,0.0,0.0,0.0,0.0,2395,False,-100.0,0.0,0.0
BTWS1M->PP1N1,-0.48829267399267395,0.0037715024851844078,0.046789838256527126,-0.06723299187377078,0.08494290831912664,2395,False,-99.22761436202892,9.582334683405293,0.15217590019289742
BTWS1M->YSTR1_103,0.48829267399267395,-0.0037715024851844078,0.046789838256527126,-0.08494290831912664,0.06723299187377066,2395,False,-99.22761436202892,9.582334683405293,0.15217590019289728
BTWS1T->PP1S1,-0.4997399267399268,-0.0003262447555942727,0.12385569198104947,-0.23272331923310707,0.1837540812481071,2395,True,-99.93471709220383,24.78402972302553,0.4164774004812142
BTWS1T->YSTR1_303,0.4998399267399267,-0.008419055142286495,0.05331578814451288,-0.1003814901525072,0.07342666782939075,2395,False,-98.3156497326659,10.66657249496873,0.17380815798189797
CARM1_605->B31_1S,-0.0717,-0.0512885580702394,0.10293766737390468,-0.21942545501439556,0.11831056761975088,2395,True,-28.467840906221195,143.56717904310275,0.3377360226341464
CARM1_MAIN4->B31_1N,0.0722,-0.05891359857149398,0.10916844577072495,-0.25026310164627674,0.1146355462043344,2395,False,-18.402218045022185,151.20283347745837,0.36489864785061116
CARM1_MAIN4->RHOS1_MAIN4,-0.062200000000000005,0.041204678823927095,0.09023361415579383,-0.09623773221257695,0.2013612878060936,2395,False,-33.754535652850336,145.07011922153347,0.29759902001867056
CLAS3_#2L5->SWAN3_10L5,-0.2205,0.010346783050792063,0.011125376456424453,0.00013191167667466605,0.024637003342087373,2395,False,-95.30758138286073,5.04552220246007,0.024505091665412707
GARN3_4L5->WAUN3_3L5,-0.4429,0.012798475387164979,0.012719059500794416,-0.0037661039185148096,0.03657230581529395,2395,False,-97.1103013350271,2.871767780716734,0.04033840973380876
GLWI3T->SWAN3_8L5,-0.19809999999999997,-0.008453451105844919,0.01044008560920092,-0.022929017254423097,0.010794307105723405,2395,True,-95.73273543369767,5.270108838566846,0.0337233243601465
GWAU3_#1H0->GWAU5_1T0,-0.0789,-0.0023925771185687277,0.0025011075842039615,-0.0069196207523534,0.0009072450065098283,2395,True,-96.96758286619932,3.1699715896121186,0.007826865758863228
GWAU3_#2H0->GWAU5_2T0,0.0788,-0.0012336653272053905,0.002524730219884686,-0.005673153573795917,0.0022910055147650128,2395,False,-98.43443486395253,3.203972360259754,0.00796415908856093
GWAU3_2L9->GWAU3_MAIN2,0.0789,-0.0012346783762789454,0.002526489619950957,-0.005670451898332898,0.002291727380474412,2395,False,-98.43513513779602,3.202141470153305,0.00796217927880731
HIRW3_#1T0->HIRW1_#110,-0.16415604395604397,0.004288781308158708,0.028344538730676702,-0.03498801946718309,0.05634066516267004,2395,False,-97.38737532606042,17.266826153697096,0.09132868462985314
HIRW3_#2T0->HIRW1_#210,-0.1651384615384615,-0.0018035038293518575,0.03006891088677991,-0.04466045852187483,0.050905331178845506,2395,True,-98.90788383726597,18.208302661083422,0.09556578970072033
HIRW3_2L5->HNDR3T,0.045919780219780215,0.03231674867801776,0.012816283378396597,0.011055411601308428,0.052750522741304484,2395,True,-29.623468310727823,27.910158361071392,0.041695111139996056
HIRW5_3T0->HIRW3_#3H0,-0.4969,-0.0010188905313070003,0.006351815454130534,-0.014199647069786183,0.007480872540731212,2395,True,-99.79495058738036,1.2782884793983766,0.021680519610517396
HIRW5_4T0->HIRW3_#4H0,-0.5031,-0.0010317132206881722,0.006431185353933442,-0.014386264123684427,0.007589779143299753,2395,True,-99.79492879731899,1.2783115392433795,0.02197604326698418
HNDR3T->ABEP3_2L3,0.046152014652014656,-0.011956864367941213,0.006161318647745547,-0.022563840143967367,-0.0027598177153091295,2395,False,-74.0924324580503,13.350053500809828,0.01980402242865824
INCS3_1H3->INCS5_1T0,0.0727,-0.0019114781028780877,0.002245185100413591,-0.005478714646467704,0.0019076649389984527,2395,False,-97.37073163290496,3.088287620926535,0.007386379585466157
INCS3_2H3->INCS5_2T0,-0.0727,0.0006168378028868835,0.0021470790672916524,-0.0026305901938075667,0.004217401161072762,2395,False,-99.15152984472232,2.9533412204837033,0.006847991354880329
LDEI3_2L5->AMMA3_5L5,0.07559999999999999,0.00046874097702364036,0.00849379670223141,-0.013118722128505116,0.015308215387133055,2395,True,-99.37997225261422,11.235180823057423,0.02842693751563817
LIME3T->GARN3_1L5,0.1918,-0.0022521573341634667,0.003917770229842226,-0.00762228900874237,0.004898518505546834,2395,False,-98.82577824079067,2.0426330708249356,0.012520807514289203
MAEG3T->ABEC3_1L5,0.051209157509157506,-0.005220160398648416,0.0075290949600374,-0.018205556109833678,0.006870462061141019,2395,False,-89.80619746045438,14.702633915996383,0.025076018170974698
