scenario,substation,technology,capacity_mw,curtailment_pct,curtailed_mwh,total_mwh,curtailed_hours,binding_branch,exceeds_2000h,exceeds_1000h
Baseline (current rules),Carmarthen,PV,20,0.26,57,22257,64,WGWB3_1L3->58L1323P59M,False,False
Baseline (current rules),Carmarthen,Wind,20,9.36,4734,50570,780,WGWB3_1L3->58L1323P59M,False,False
Baseline (current rules),Carmarthen,BESS,20,12.25,9901,80812,1310,WGWB3_1L3->58L1323P59M,False,True
Baseline (current rules),FOSL,PV,20,21.59,4805,22257,878,FOSL3T->NEWL3_3L5,False,False
Baseline (current rules),FOSL,Wind,20,4.62,2335,50570,962,FOSL3T->NEWL3_3L5,False,False
Baseline (current rules),FOSL,BESS,20,19.64,15870,80812,2524,FOSL3T->NEWL3_3L5,True,True
Baseline (current rules),FRBN,PV,20,4.56,1015,22257,400,ABYS1_213->ABYS3_2T0,False,False
Baseline (current rules),FRBN,Wind,20,15.1,7634,50570,1059,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),FRBN,BESS,20,15.17,12262,80812,1424,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),GARN,PV,20,21.14,4705,22257,1020,CLAS3_#2L5->SWAN3_10L5,False,True
Baseline (current rules),GARN,Wind,20,33.93,17156,50570,2218,CLAS3_#2L5->SWAN3_10L5,True,True
Baseline (current rules),GARN,BESS,20,26.57,21475,80812,2294,CLAS3_#2L5->SWAN3_10L5,True,True
Baseline (current rules),GWAU,PV,20,45.57,10142,22257,2897,GWAU3_#1H0->GWAU5_1T0,True,True
Baseline (current rules),GWAU,Wind,20,53.85,27230,50570,4252,GWAU3_#1H0->GWAU5_1T0,True,True
Baseline (current rules),GWAU,BESS,20,59.23,47866,80812,5158,GWAU3_#1H0->GWAU5_1T0,True,True
Baseline (current rules),Gowerton East,PV,20,0.0,0,22257,0,None,False,False
Baseline (current rules),Gowerton East,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),Gowerton East,BESS,20,0.0,0,80812,0,None,False,False
Baseline (current rules),HEND,PV,20,0.0,0,22257,0,None,False,False
Baseline (current rules),HEND,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),HEND,BESS,20,0.01,6,80812,7,HEND3_1H3->HEND5_1T0,False,False
Baseline (current rules),HOPK,PV,20,0.0,0,22257,0,None,False,False
Baseline (current rules),HOPK,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),HOPK,BESS,20,0.0,0,80812,0,None,False,False
Baseline (current rules),Hirwaun,PV,20,0.0,0,22257,0,None,False,False
Baseline (current rules),Hirwaun,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),Hirwaun,BESS,20,0.0,0,80812,0,None,False,False
Baseline (current rules),INCS,PV,20,57.05,12698,22257,1104,52L6067P19->TYNY3T,False,True
Baseline (current rules),INCS,Wind,20,10.75,5437,50570,1446,52L6067P19->TYNY3T,False,True
Baseline (current rules),INCS,BESS,20,20.67,16708,80812,3204,INCS3_1H3->INCS5_1T0,True,True
Baseline (current rules),JERM,PV,20,0.0,0,22257,0,None,False,False
Baseline (current rules),JERM,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),JERM,BESS,20,0.0,0,80812,0,None,False,False
Baseline (current rules),KIDW,PV,20,16.67,3710,22257,728,FOSL3T->NEWL3_3L5,False,False
Baseline (current rules),KIDW,Wind,20,1.66,840,50570,378,FOSL3T->NEWL3_3L5,False,False
Baseline (current rules),KIDW,BESS,20,11.75,9497,80812,2436,W38_3S->NEWL3_1L3,True,True
Baseline (current rules),LBRI,PV,20,30.56,6802,22257,1572,YSTF3_#3L5->YSTF3_#4L5,False,True
Baseline (current rules),LBRI,Wind,20,40.97,20720,50570,3644,YSTF3_#3L5->YSTF3_#4L5,True,True
Baseline (current rules),LBRI,BESS,20,45.65,36891,80812,4922,YSTF3_#3L5->YSTF3_#4L5,True,True
Baseline (current rules),LDEI,PV,20,6.76,1505,22257,440,LDEI3_4L5->NANG3_#2L5,False,False
Baseline (current rules),LDEI,Wind,20,4.65,2349,50570,814,LDEI3_2L5->AMMA3_5L5,False,False
Baseline (current rules),LDEI,BESS,20,14.9,12045,80812,2454,LDEI3_2L5->AMMA3_5L5,True,True
Baseline (current rules),LDOV,PV,20,2.5,556,22257,240,PONA3_1L3->LDOV3_2L5,False,False
Baseline (current rules),LDOV,Wind,20,2.63,1328,50570,567,LDOV3_1L5->LGAD3_1L3,False,False
Baseline (current rules),LDOV,BESS,20,12.21,9867,80812,2470,PONA3_1L3->LDOV3_2L5,True,True
Baseline (current rules),LFYR,PV,20,5.52,1230,22257,482,CARM3_5L5->STCL3_MAIN2,False,False
Baseline (current rules),LFYR,Wind,20,17.41,8805,50570,1658,CARM3_5L5->STCL3_MAIN2,False,True
Baseline (current rules),LFYR,BESS,20,20.6,16646,80812,2626,CARM3_5L5->STCL3_MAIN2,True,True
Baseline (current rules),LGAD,PV,20,3.51,781,22257,280,LDEI3_4L5->NANG3_#2L5,False,False
Baseline (current rules),LGAD,Wind,20,4.1,2076,50570,778,LGAD3_2L3->MANO3T,False,False
Baseline (current rules),LGAD,BESS,20,12.2,9858,80812,2466,LGAD3_2L3->MANO3T,True,True
Baseline (current rules),LILA,PV,20,4.62,1029,22257,404,ABYS1_213->ABYS3_2T0,False,False
Baseline (current rules),LILA,Wind,20,14.76,7465,50570,1034,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),LILA,BESS,20,15.35,12404,80812,1456,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),LLAY,PV,20,0.36,81,22257,10,LAMP3_2L5->LWNI3_2L3,False,False
Baseline (current rules),LLAY,Wind,20,0.67,338,50570,46,LAMP3_2L5->LWNI3_2L3,False,False
Baseline (current rules),LLAY,BESS,20,0.22,180,80812,32,LAMP3_2L5->LWNI3_2L3,False,False
Baseline (current rules),LLCY,PV,20,0.0,1,22257,1,TIRJ3_#5L5->LLCY3_MAIN1,False,False
Baseline (current rules),LLCY,Wind,20,0.02,12,50570,3,TIRJ3_#5L5->LLCY3_MAIN1,False,False
Baseline (current rules),LLCY,BESS,20,0.39,311,80812,41,TIRJ3_#5L5->LLCY3_MAIN1,False,False
Baseline (current rules),LLNT,PV,20,6.9,1536,22257,380,LLNT3_#1L0->TROS3_#1L5,False,False
Baseline (current rules),LLNT,Wind,20,0.19,94,50570,52,LLNT3_#1L0->TROS3_#1L5,False,False
Baseline (current rules),LLNT,BESS,20,1.43,1159,80812,302,LLNT3_#1L0->TROS3_#1L5,False,False
Baseline (current rules),LRHI,PV,20,25.38,5650,22257,1159,SWAT3T->TWAU3,False,True
Baseline (current rules),LRHI,Wind,20,18.04,9121,50570,2397,SWAT3T->TWAU3,True,True
Baseline (current rules),LRHI,BESS,20,33.21,26835,80812,2479,SWAT3T->TWAU3,True,True
Baseline (current rules),LWNI,PV,20,0.17,37,22257,42,RHOS3_2L5->LWNI3_1L3,False,False
Baseline (current rules),LWNI,Wind,20,5.57,2818,50570,917,RHOS3_2L5->LWNI3_1L3,False,False
Baseline (current rules),LWNI,BESS,20,11.07,8944,80812,2404,RHOS3_2L5->LWNI3_1L3,True,True
Baseline (current rules),Lampeter,PV,20,0.42,94,22257,13,LAMP3_2L5->LWNI3_2L3,False,False
Baseline (current rules),Lampeter,Wind,20,0.96,484,50570,63,LAMP3_2L5->LWNI3_2L3,False,False
Baseline (current rules),Lampeter,BESS,20,0.37,300,80812,53,LAMP3_2L5->LWNI3_2L3,False,False
Baseline (current rules),Llanarth,PV,20,0.0,0,22257,0,None,False,False
Baseline (current rules),Llanarth,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),Llanarth,BESS,20,0.0,0,80812,0,None,False,False
Baseline (current rules),MACH,PV,20,4.54,1011,22257,399,ABYS1_213->ABYS3_2T0,False,False
Baseline (current rules),MACH,Wind,20,14.91,7541,50570,1040,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),MACH,BESS,20,15.04,12155,80812,1412,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),MAER,PV,20,2.62,584,22257,225,55L7040P11->TOWE3T,False,False
Baseline (current rules),MAER,Wind,20,22.61,11432,50570,1590,55L7040P11->TOWE3T,False,True
Baseline (current rules),MAER,BESS,20,14.82,11976,80812,2230,55L7040P11->TOWE3T,True,True
Baseline (current rules),MAES,PV,20,0.0,0,22257,0,None,False,False
Baseline (current rules),MAES,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),MAES,BESS,20,0.0,0,80812,0,None,False,False
Baseline (current rules),MYND,PV,20,4.52,1006,22257,396,ABYS1_213->ABYS3_2T0,False,False
Baseline (current rules),MYND,Wind,20,14.7,7434,50570,1020,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),MYND,BESS,20,14.89,12033,80812,1399,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),NANG,PV,20,27.69,6162,22257,1195,NANG3_#1L5->WGWB3_2L3,False,True
Baseline (current rules),NANG,Wind,20,17.08,8640,50570,2340,NANG3_#1L5->WGWB3_2L3,True,True
Baseline (current rules),NANG,BESS,20,33.66,27204,80812,2576,NANG3_#1L5->WGWB3_2L3,True,True
Baseline (current rules),NEVE,PV,20,15.19,3381,22257,694,BRID3_2L9->BRID3_2L5,False,False
Baseline (current rules),NEVE,Wind,20,2.2,1113,50570,506,LWND3T->58L5303P19,False,False
Baseline (current rules),NEVE,BESS,20,12.72,10277,80812,2450,LWND3T->58L5303P19,True,True
Baseline (current rules),NEWL,PV,20,24.91,5544,22257,1002,W38_3S->NEWL3_1L3,False,True
Baseline (current rules),NEWL,Wind,20,7.93,4008,50570,1414,W38_3S->NEWL3_1L3,False,True
Baseline (current rules),NEWL,BESS,20,24.65,19920,80812,2598,W38_3S->NEWL3_1L3,True,True
Baseline (current rules),PCYL,PV,20,4.57,1018,22257,400,ABYS1_213->ABYS3_2T0,False,False
Baseline (current rules),PCYL,Wind,20,15.11,7642,50570,1060,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),PCYL,BESS,20,15.22,12297,80812,1428,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),PEND,PV,20,11.54,2569,22257,780,SPRI3->58L5296P162,False,False
Baseline (current rules),PEND,Wind,20,19.05,9631,50570,1888,CARM3_8L5->PEND3T,False,True
Baseline (current rules),PEND,BESS,20,27.9,22547,80812,2632,SPRI3->58L5296P162,True,True
Baseline (current rules),PGTN,PV,20,2.26,504,22257,250,TRAB3M->TRAV3_3L9,False,False
Baseline (current rules),PGTN,Wind,20,1.75,887,50570,522,TRAB3M->TRAV3_3L9,False,False
Baseline (current rules),PGTN,BESS,20,16.2,13094,80812,2470,TRAB3M->TRAV3_3L9,True,True
Baseline (current rules),PNTA,PV,20,6.62,1474,22257,476,CYNH3->PONY3_#2L5,False,False
Baseline (current rules),PNTA,Wind,20,2.97,1499,50570,706,CYNH3->PONY3_#2L5,False,False
Baseline (current rules),PNTA,BESS,20,17.56,14190,80812,2460,CYNH3->PONY3_#2L5,True,True
Baseline (current rules),PONA,PV,20,8.79,1957,22257,588,PONA3_2L3->LAMP3_1L5,False,False
Baseline (current rules),PONA,Wind,20,2.41,1220,50570,627,PONA3_2L3->LAMP3_1L5,False,False
Baseline (current rules),PONA,BESS,20,21.23,17158,80812,2482,PONA3_2L3->LAMP3_1L5,True,True
Baseline (current rules),POND,PV,20,1.92,427,22257,217,POND3_#1L5->TRAV3_#3L5,False,False
Baseline (current rules),POND,Wind,20,1.01,510,50570,355,POND3_#1L5->TRAV3_#3L5,False,False
Baseline (current rules),POND,BESS,20,11.24,9081,80812,2438,POND3_#1L5->TRAV3_#3L5,True,True
Baseline (current rules),PONY,PV,20,7.94,1767,22257,466,FOSL3T->NEWL3_3L5,False,False
Baseline (current rules),PONY,Wind,20,1.25,633,50570,450,PONY3_#1L5->52L7800P1,False,False
Baseline (current rules),PONY,BESS,20,14.62,11816,80812,2460,PONY3_#1L5->52L7800P1,True,True
Baseline (current rules),RAVE,PV,20,0.99,220,22257,28,UU19E->SWAW1_MAIN1,False,False
Baseline (current rules),RAVE,Wind,20,0.02,11,50570,6,UU19E->SWAW1_MAIN1,False,False
Baseline (current rules),RAVE,BESS,20,0.45,367,80812,40,UU19E->SWAW1_MAIN1,False,False
Baseline (current rules),REDC,PV,20,0.26,57,22257,64,WGWB3_1L3->58L1323P59M,False,False
Baseline (current rules),REDC,Wind,20,9.36,4734,50570,780,WGWB3_1L3->58L1323P59M,False,False
Baseline (current rules),REDC,BESS,20,12.25,9901,80812,1310,WGWB3_1L3->58L1323P59M,False,True
Baseline (current rules),RGOS,PV,20,0.0,0,22257,0,None,False,False
Baseline (current rules),RGOS,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),RGOS,BESS,20,0.0,0,80812,0,None,False,False
Baseline (current rules),RHYD,PV,20,5.06,1125,22257,434,ABYS1_213->ABYS3_2T0,False,False
Baseline (current rules),RHYD,Wind,20,14.76,7466,50570,1060,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),RHYD,BESS,20,16.77,13549,80812,1610,RHYD1_113->RHYD3_1T0,False,True
Baseline (current rules),Rhos,PV,20,0.23,52,22257,20,LLAN3_1L5->BLAP3_3L5,False,False
Baseline (current rules),Rhos,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),Rhos,BESS,20,0.01,8,80812,4,LLAN3_1L5->BLAP3_3L5,False,False
Baseline (current rules),SOFI,PV,20,0.0,0,22257,0,None,False,False
Baseline (current rules),SOFI,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),SOFI,BESS,20,0.0,0,80812,0,None,False,False
Baseline (current rules),STCL,PV,20,26.49,5895,22257,1356,CARM3_4L5->STCL3_MAIN1,False,True
Baseline (current rules),STCL,Wind,20,32.45,16410,50570,3116,CARM3_4L5->STCL3_MAIN1,True,True
Baseline (current rules),STCL,BESS,20,40.7,32891,80812,2690,CARM3_4L5->STCL3_MAIN1,True,True
Baseline (current rules),SWAU,PV,20,13.66,3039,22257,860,TSKT3_MAIN1->SWAU3_MAIN1,False,False
Baseline (current rules),SWAU,Wind,20,15.32,7746,50570,2072,TSKT3_MAIN1->SWAU3_MAIN1,True,True
Baseline (current rules),SWAU,BESS,20,31.6,25536,80812,2460,TSKT3_MAIN1->SWAU3_MAIN1,True,True
Baseline (current rules),Swansea North,PV,20,0.45,100,22257,24,SWAN1_#310->SWAN3_#3T0,False,False
Baseline (current rules),Swansea North,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),Swansea North,BESS,20,0.03,24,80812,5,SWAN1_#310->SWAN3_#3T0,False,False
Baseline (current rules),Swansea West,PV,20,0.99,220,22257,28,UU19E->SWAW1_MAIN1,False,False
Baseline (current rules),Swansea West,Wind,20,0.02,11,50570,6,UU19E->SWAW1_MAIN1,False,False
Baseline (current rules),Swansea West,BESS,20,0.45,366,80812,40,UU19E->SWAW1_MAIN1,False,False
Baseline (current rules),TIMT,PV,20,0.0,0,22257,0,None,False,False
Baseline (current rules),TIMT,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),TIMT,BESS,20,0.0,0,80812,0,None,False,False
Baseline (current rules),TREG,PV,20,0.44,98,22257,24,LDBF3_1L9->TREG3_2L3,False,False
Baseline (current rules),TREG,Wind,20,0.91,459,50570,62,LAMP3_2L5->LWNI3_2L3,False,False
Baseline (current rules),TREG,BESS,20,1.47,1191,80812,1130,LDBF3_1L9->TREG3_2L3,False,True
Baseline (current rules),TREV,PV,20,0.26,57,22257,64,WGWB3_1L3->58L1323P59M,False,False
Baseline (current rules),TREV,Wind,20,9.4,4755,50570,786,WGWB3_1L3->58L1323P59M,False,False
Baseline (current rules),TREV,BESS,20,12.32,9956,80812,1314,WGWB3_1L3->58L1323P59M,False,True
Baseline (current rules),TSKT,PV,20,0.99,220,22257,28,UU19E->SWAW1_MAIN1,False,False
Baseline (current rules),TSKT,Wind,20,0.02,11,50570,6,UU19E->SWAW1_MAIN1,False,False
Baseline (current rules),TSKT,BESS,20,0.45,367,80812,40,UU19E->SWAW1_MAIN1,False,False
Baseline (current rules),TUMB,PV,20,1.24,275,22257,174,CRHA3_#1L5->TUMB3_3L5,False,False
Baseline (current rules),TUMB,Wind,20,0.21,108,50570,118,CRHA3_#1L5->TUMB3_3L5,False,False
Baseline (current rules),TUMB,BESS,20,8.08,6531,80812,2339,CRHA3_#1L5->TUMB3_3L5,True,True
Baseline (current rules),TWYN,PV,20,4.55,1014,22257,399,ABYS1_213->ABYS3_2T0,False,False
Baseline (current rules),TWYN,Wind,20,15.07,7622,50570,1058,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),TWYN,BESS,20,15.14,12235,80812,1421,ABYS1_213->ABYS3_2T0,False,True
Baseline (current rules),Tir John,PV,20,0.0,0,22257,0,None,False,False
Baseline (current rules),Tir John,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),Tir John,BESS,20,0.0,0,80812,0,None,False,False
Baseline (current rules),Trostre,PV,20,0.0,0,22257,0,None,False,False
Baseline (current rules),Trostre,Wind,20,0.0,0,50570,0,None,False,False
Baseline (current rules),Trostre,BESS,20,0.0,0,80812,0,None,False,False
Baseline (current rules),WAUN,PV,20,22.2,4941,22257,1378,CLAS3_#2L5->SWAN3_10L5,False,True
Baseline (current rules),WAUN,Wind,20,52.15,26373,50570,3739,CLAS3_#2L5->SWAN3_10L5,True,True
Baseline (current rules),WAUN,BESS,20,53.32,43089,80812,4606,GARN3_4L5->WAUN3_3L5,True,True
Baseline (current rules),WESX,PV,20,1.22,272,22257,60,UPLT31->WESX3_MAIN1,False,False
Baseline (current rules),WESX,Wind,20,0.05,27,50570,38,UPLT31->WESX3_MAIN1,False,False
Baseline (current rules),WESX,BESS,20,4.09,3303,80812,2101,UPLT31->WESX3_MAIN1,True,True
Baseline (current rules),WGWB,PV,20,14.18,3155,22257,788,WGWB3_1L3->58L1323P59M,False,False
Baseline (current rules),WGWB,Wind,20,11.64,5884,50570,1637,NANG3_#1L5->WGWB3_2L3,False,True
Baseline (current rules),WGWB,BESS,20,27.19,21975,80812,2460,58L1323P59M->CWFR3_5L3,True,True
Baseline (current rules),WHIT,PV,20,28.01,6235,22257,1376,WHIT3_MAIN2A->WHIT3_MAIN2B,False,True
Baseline (current rules),WHIT,Wind,20,28.97,14648,50570,3011,WHIT3_MAIN2A->WHIT3_MAIN2B,True,True
Baseline (current rules),WHIT,BESS,20,39.48,31901,80812,2633,WHIT3_MAIN2A->WHIT3_MAIN2B,True,True
Baseline (current rules),WSTC,PV,20,13.3,2960,22257,590,HIRW3_2L5->HNDR3T,False,False
Baseline (current rules),WSTC,Wind,20,0.39,195,50570,98,HIRW3_2L5->HNDR3T,False,False
Baseline (current rules),WSTC,BESS,20,4.97,4016,80812,1418,HIRW3_2L5->HNDR3T,False,True
Baseline (current rules),YNST,PV,20,0.01,3,22257,4,YNST5_1T0->YNST3,False,False
Baseline (current rules),YNST,Wind,20,1.56,787,50570,146,YNST5_1T0->YNST3,False,False
Baseline (current rules),YNST,BESS,20,1.83,1479,80812,212,YNST5_1T0->YNST3,False,False
Baseline (current rules),YNYS,PV,20,0.61,135,22257,59,55L7040P11->TOWE3T,False,False
Baseline (current rules),YNYS,Wind,20,12.42,6280,50570,816,55L7040P11->TOWE3T,False,False
Baseline (current rules),YNYS,BESS,20,5.28,4264,80812,650,55L7040P11->TOWE3T,False,False
Baseline (current rules),YSTF,PV,20,3.53,787,22257,366,LDOV3_4L5->YSTF3_5L3,False,False
Baseline (current rules),YSTF,Wind,20,8.02,4058,50570,1268,LDOV3_4L5->YSTF3_5L3,False,True
Baseline (current rules),YSTF,BESS,20,22.2,17940,80812,2472,LDOV3_4L5->YSTF3_5L3,True,True
Baseline (current rules),Ystradgynlais,PV,20,0.83,184,22257,70,TRAV32->YSTR1_#210,False,False
Baseline (current rules),Ystradgynlais,Wind,20,0.04,21,50570,10,TRAV32->YSTR1_#210,False,False
Baseline (current rules),Ystradgynlais,BESS,20,0.15,121,80812,41,TRAV32->YSTR1_#210,False,False
Post-Gate 2 (moderate attrition),ABAE,PV,20,6.02,1340,22257,504,ABAE3_1L3->LLAN3_2L5,False,False
Post-Gate 2 (moderate attrition),ABAE,Wind,20,5.03,2544,50570,1080,ABAE3_1L3->LLAN3_2L5,False,True
Post-Gate 2 (moderate attrition),ABAE,BESS,20,21.76,17585,80812,2460,ABAE3_1L3->LLAN3_2L5,True,True
Post-Gate 2 (moderate attrition),ABDA,PV,20,0.47,104,22257,82,ABDA3_2L5->HIRW3_6L5,False,False
Post-Gate 2 (moderate attrition),ABDA,Wind,20,0.8,405,50570,246,ABDA3_2L5->HIRW3_6L5,False,False
Post-Gate 2 (moderate attrition),ABDA,BESS,20,7.73,6248,80812,2034,ABDA3_2L5->HIRW3_6L5,True,True
Post-Gate 2 (moderate attrition),ABEC,PV,20,4.36,970,22257,234,HIRW3_2L5->HNDR3T,False,False
Post-Gate 2 (moderate attrition),ABEC,Wind,20,0.09,46,50570,45,ABEC3_2L5->TRAV3_#1L5,False,False
Post-Gate 2 (moderate attrition),ABEC,BESS,20,0.8,647,80812,316,ABEC3_2L5->TRAV3_#1L5,False,False
Post-Gate 2 (moderate attrition),ABYS,PV,20,4.57,1018,22257,401,ABYS1_213->ABYS3_2T0,False,False
Post-Gate 2 (moderate attrition),ABYS,Wind,20,15.23,7700,50570,1070,ABYS1_213->ABYS3_2T0,False,True
Post-Gate 2 (moderate attrition),ABYS,BESS,20,15.25,12327,80812,1432,ABYS1_213->ABYS3_2T0,False,True
Post-Gate 2 (moderate attrition),ADVY,PV,20,4.56,1016,22257,400,ABYS1_213->ABYS3_2T0,False,False
Post-Gate 2 (moderate attrition),ADVY,Wind,20,15.09,7631,50570,1058,ABYS1_213->ABYS3_2T0,False,True
Post-Gate 2 (moderate attrition),ADVY,BESS,20,15.16,12250,80812,1422,ABYS1_213->ABYS3_2T0,False,True
Post-Gate 2 (moderate attrition),ALCO,PV,20,0.0,0,22257,0,None,False,False
Post-Gate 2 (moderate attrition),ALCO,Wind,20,0.0,0,50570,0,None,False,False
Post-Gate 2 (moderate attrition),ALCO,BESS,20,0.0,0,80812,0,None,False,False
Post-Gate 2 (moderate attrition),Ammanford,PV,20,0.0,0,22257,0,None,False,False
Post-Gate 2 (moderate attrition),Ammanford,Wind,20,0.0,0,50570,0,None,False,False
Post-Gate 2 (moderate attrition),Ammanford,BESS,20,0.0,0,80812,0,None,False,False
