mrid,name,n_windings,container,end1_node,end1_name,end1_kv,end1_r,end1_x,end1_rated_s,end2_node,end2_name,end2_kv,end2_r,end2_x,end2_rated_s,end3_node,end3_name,end3_kv,end3_r,end3_x,end3_rated_s
53dfde35-8f3a-4c8e-b337-9b6de66f2e2f,33/11kV 2WT CARG3_#2H0-CARG5_2T0,2,69740591-0656-4940-8c63-82f9500b056e,0fff52f9-6154-4949-8271-43b432d5722a,CARG3_#2H0,33.0,0.678447,8.67062,100.0,4bd52acc-96cb-44c0-ac71-a16d8372a022,CARG5_2T0,11.0,0.0,0.0,100.0,,,,,,
eb6ea8f4-4018-4a14-bf8b-e1f18ea2925e,132/33kV 2WT CARM1_#210-CARM3_#2T0,2,f98d4d97-6d3f-4001-bd64-5914ad6093b9,b693b383-1e81-41c9-9b66-f9ed340c1342,CARM1_#210,132.0,1.4096,43.9625,100.0,aff83281-ca80-444c-939f-436fe66f7863,CARM3_#2T0,33.0,0.0,0.0,100.0,,,,,,
03684905-294d-4efc-9859-74e81a1cb7f8,132/33kV 2WT CARM1_113-CARM3_#1T0,2,f98d4d97-6d3f-4001-bd64-5914ad6093b9,83cf7766-ebc8-4b9d-929c-5e216cda1d49,CARM1_113,132.0,2.55784,45.4244,100.0,7a52739a-c5d6-4980-875d-cf09582b5944,CARM3_#1T0,33.0,0.0,0.0,100.0,,,,,,
b109e48f-6043-412c-a993-c1dfb79603e3,132/33kV 2WT CARN1_#110-CARN3_#1T0,2,6cdcc1ae-5f13-48ac-850c-4cfc68788a89,e597dc48-6d6f-45e7-b1fd-e6e6e34edd09,CARN1_#110,132.0,0.709157,43.5931,100.0,ced9ef89-a158-4b9c-b35b-669e80382bda,CARN3_#1T0,33.0,0.0,0.0,100.0,,,,,,
14ad3c95-40f9-465b-824b-67cef43a7932,132/33kV 2WT CARN1_#210-CARN3_#2T0,2,6cdcc1ae-5f13-48ac-850c-4cfc68788a89,3a55b121-d661-4bb4-836e-26327070e3e9,CARN1_#210,132.0,0.796277,43.262,100.0,bf3721a6-5b4f-4ccc-a546-fe8244b0556c,CARN3_#2T0,33.0,0.0,0.0,100.0,,,,,,
101a164d-2d61-48fc-afd7-ca83861dfdd2,132/11kV 2WT CARS1_#110-CARS5_1T0,2,599322e5-cbc6-4ff3-955c-1adfad3f93f0,55cd9f02-8fee-44e8-87c9-7e6d29b1a847,CARS1_#110,132.0,3.31056,121.794,100.0,ab0b1590-8c63-4175-a269-acae4341787f,CARS5_1T0,11.0,0.0,0.0,100.0,,,,,,
089bea4e-f07d-42e0-ab39-3a395d63a43a,132/11kV 2WT CARS1_213-CARS5_2T0,2,599322e5-cbc6-4ff3-955c-1adfad3f93f0,84658b61-fd48-4c33-8a14-0ad1f2b95d8e,CARS1_213,132.0,3.31056,121.358,100.0,105c17d1-dc0a-4be7-a9f0-25a958b0beb0,CARS5_2T0,11.0,0.0,0.0,100.0,,,,,,
5b42f34f-5d32-456a-93b6-664a8523d25b,132/33kV 2WT CARW1_#110-CARW3_#1T0,2,441d4b47-111b-4d27-9313-076b889f95b7,fd497f64-446c-47e7-ad55-eea2cdeff6e1,CARW1_#110,132.0,0.8712,37.7421,100.0,b955d2ac-566f-455e-b845-04f81039c772,CARW3_#1T0,33.0,0.0,0.0,100.0,,,,,,
2a92f222-c542-46db-ac1b-db2f29a0ecf7,132/33kV 2WT CARW1_#210-CARW3_#2T0,2,441d4b47-111b-4d27-9313-076b889f95b7,4065a724-7f10-4389-bc2f-9699fce53e63,CARW1_#210,132.0,0.860746,37.7421,100.0,f266ae90-d1fb-4e93-b7a3-20eb93ff9e4b,CARW3_#2T0,33.0,0.0,0.0,100.0,,,,,,
a7956062-6168-43be-be74-fad61928a905,33/11kV 2WT CHEP32-CHEP5_2T0,2,00bfdee9-15fa-4d20-befb-f81e55dcfb7d,7790a208-12a5-4f7b-b8d2-be95138bcff4,CHEP32,33.0,0.544064,12.0575,100.0,b5eaba98-4894-444d-9143-c795340ccf8b,CHEP5_2T0,11.0,0.0,0.0,100.0,,,,,,
4f2fc097-b818-484d-a2ac-bf4b350035c2,33/11kV 2WT CHEP3_1H0-CHEP5_1T0,2,00bfdee9-15fa-4d20-befb-f81e55dcfb7d,ee5aab9b-564a-4185-97c5-fbb0da32aa75,CHEP3_1H0,33.0,0.552885,12.048,100.0,98af6d7a-2e19-4fab-8762-5cd822f31d54,CHEP5_1T0,11.0,0.0,0.0,100.0,,,,,,
