mrid,name,from_node,to_node,from_name,to_name,r_ohm,x_ohm,bch_s,length_km,kv,container
b23b8b37-bd33-48fd-9b52-3263c651dc8d,33kV Line LLAN3_4L5-LLAY3_2L3[sec]0,3a94a215-c652-490b-861e-e290fa2b20e1,c2b93a7d-bbf9-46ab-ba86-b66315ba338b,LLAN3_4L5,LLAY3_2L3,3.35442,4.33929,6.71653e-05,12.372,33.0,ea2ff1a3-34ae-425b-b6bf-964e5c6e25c6
c8da82e7-f9ca-45e6-885f-43f397035a91,11kV Line LLAN5-ABAE51[sec]0,92215be8-cef5-4989-a171-e81a0d2522b2,6d9c5a26-63e4-4b3f-89b7-51931d05872d,LLAN5,ABAE51,1.2445,2.06672,6.08751e-05,6.982,11.0,d05091e2-c64f-4a2d-9737-c6e90f0083f8
c267e363-20d4-4de6-a1e6-34c5800ae7a1,33kV Line LLAY3_3L9-LLAY3_1L3[sec]0,19886a36-1172-4343-a048-37abb4ae5cb3,75094f04-f4ee-47b0-933c-37dfc665709a,LLAY3_3L9,LLAY3_1L3,0.895432,1.16047,1.07801e-05,3.268,33.0,9d39a8c1-7aa1-4ef5-a472-0332fbc8da09
1b61932a-2db4-4836-9f69-b4e0549b7033,33kV Line LLCY3_MAIN1-LCYS3_#1L5[sec]0,4bcac5c3-b10d-4da4-bcf2-eb0e47a6de6f,32f78083-fd0f-40d8-89ec-ad8240818401,LLCY3_MAIN1,LCYS3_#1L5,0.0228581,0.0246767,1.71717e-05,0.211,33.0,0a5b318f-8121-4158-8489-b6bb954a73f1
817f5b34-dcba-411f-bdc3-9e8d5e230e8e,33kV Line LLDO3_1L3-PENA3_#2L5[sec]0,6e37130e-fcbe-448e-9f61-2a5202573646,103a022b-2ef7-4dd2-9edb-1ea90676a822,LLDO3_1L3,PENA3_#2L5,0.331413,0.728394,0.000152345,3.033,33.0,f6b32faf-708f-45ba-b6aa-c9c368137ef3
4eb3cba1-c970-493e-940a-85a48f4ed973,11kV Line LLDR5-RHAY5[sec]0,3718fff8-c2f0-46c0-aca6-0af575e98f60,6f559c98-d201-490c-9371-346583cc1581,LLDR5,RHAY5,3.19991,3.8028,0.000184536,11.6585,11.0,25cd9022-b490-4d57-b6be-7fb5c5ffa5f8
697d91ba-e9c6-427a-9063-01452f5675c7,132kV Line LLEL1_205-82W23DW[sec]0,312ca6b1-2d4d-40d9-8a96-6bc2ae4256d8,6a74e9b7-bf87-43b9-a1a8-855c8d82726b,LLEL1_205,82W23DW,0.0315516,0.121264,8.87816e-05,0.922,132.0,aed55842-3b01-48b6-93b1-1e068a696b23
8c621f6a-fdbd-41b8-aabe-d54531e289ae,33kV Line LLFB3_3L9-54L7111P64[sec]0,e06c86b4-8a8c-4fe2-8fb1-3d32c3b7410f,dd468749-eeb8-4809-9dbd-1bb1ce55ea9b,LLFB3_3L9,54L7111P64,0.00731699,0.0205956,1.6286e-07,0.054,33.0,f4d09319-1887-452f-949a-f0d1f97a9aaa
3eaf7f86-9b21-42a9-ae45-68a11774e19e,11kV Line LLIS5-BIRC5[sec]0,286e6909-6b35-4d40-b5a6-66cda2fdf73e,64c28969-4534-4f3e-a78a-cb996a49d2c9,LLIS5,BIRC5,0.112793,0.0645556,9.14512e-05,0.796,11.0,5d57a2c9-d5cc-4e89-af73-aee1f54fb2a4
7a6ab632-651e-4968-9c92-20f9cd37d0c1,11kV Line LLIS5-BIRC5[sec]0,286e6909-6b35-4d40-b5a6-66cda2fdf73e,64c28969-4534-4f3e-a78a-cb996a49d2c9,LLIS5,BIRC5,0.223904,0.119966,0.00029853,1.508,11.0,40fda058-91b3-424d-8eea-f70ed790decd
cef9e05f-5b18-40af-8881-bb6003766c1c,132kV Line LLTA1M-CWBT11[sec]0,1777c2cf-50af-4974-b249-afc617ddbc6d,a9028d98-59cf-40e7-922f-229b5cb8dc6b,LLTA1M,CWBT11,0.421983,2.05845,1.63373e-05,5.417,132.0,967bece5-67a7-4494-9fcd-deb52d14c547
fb527fe4-9fb9-48f9-a3f7-9ae1f6f9a5cb,132kV Line LLTA1_205-CWBT12[sec]0,a472185e-3f44-43f3-98f3-588a80a44b99,26f313a5-fc4c-47b9-8732-343c31d06232,LLTA1_205,CWBT12,0.421983,2.05845,1.63373e-05,5.417,132.0,e5fe77f6-a7af-4d02-aade-1f3039876f99
1ceb1bbe-a056-4491-8c41-39991bcbfade,66kV Line LLTA6_1L5-PBPV6T[sec]0,b411e549-01c3-46e7-9889-2b8ec4017246,dba34e83-5372-4a09-a7d4-0f5422261af6,LLTA6_1L5,PBPV6T,0.208975,0.432297,3.84231e-06,1.176,66.0,75715163-e5cc-4df9-ac51-67f796a3be2e
