zone,branch,mean_residual_mw,std_residual_mw,p5_residual,p95_residual,max_abs_residual,mean_gen_contribution,relative_error_pct
swansea-north,82V97N->SWAN1_605,1.1726904600811696,13.044480715900258,-18.96765685149084,24.624381528867193,45.43229145037203,0.20311532099138102,577.3520453097339
swansea-north,82V97N->82C21AN,-1.1727288518609449,13.044467125640562,-24.623927204280218,18.96811117607782,45.43183712578505,0.20311532099138102,577.3709467789032
swansea-north,82VE35W->SWAN1_105,8.783156901149432,9.736420563967117,-6.994911864917405,24.075088135082595,44.9850881350826,11.193679000000001,78.46532762954371
upper-boat,UPPB2_H13->UPPB1_SGT1,4.39780885351396,9.211785379577625,-9.769785887909862,20.575753724686617,44.29819583993144,0.32632188838985177,1347.6904277594658
upper-boat,UPPB2_H43->UPPB1_SGT4,4.39780885351396,9.211785379577625,-9.769785887909862,20.575753724686617,44.29819583993144,0.32632188838985177,1347.6904277594658
swansea-north,CARM1_605->B31_1S,0.8275745777813245,12.39266864624875,-19.089709695366558,22.18691709035265,43.53621033798227,0.31182492940930323,265.39718275540605
uskmouth,NEWS3_#9L5->TRST3_#1L5,-13.628402552543085,10.284431234851187,-30.327051584699454,-5.726541584699453,43.38455158469945,12.303071320933162,110.7723607954294
uskmouth,NEWS1_#110->NEWS3_#1T0,-6.4520069272803715,6.922066175355794,-19.46817989071038,-0.15049989071038272,43.31817989071038,6.225413190416142,103.63981843346662
swansea-north,82B5C4S->C6__1SW,0.8115376559282778,12.15098755742468,-18.705460621288168,21.757039020689252,42.6754563952619,0.3046729814870715,266.3635127628521
swansea-north,82B5C4S->B31_1S,-0.8115376559282778,12.15098755742468,-21.757039020689252,18.705460621288168,42.6754563952619,0.3046729814870715,266.3635127628521
swansea-north,W38_1NE->C6__1SW,-0.8106316389386418,12.142418811737432,-21.73985337415177,18.692640400121483,42.63852094268081,0.3039577866948484,266.6921771451301
swansea-north,82W23DW->LLEL1_205,0.8070289691310579,12.086299105036904,-18.604714972365343,21.630267066499563,42.44693502294142,0.30252739711040194,266.7622756945042
swansea-north,82W23DW->W38_1NE,-0.8070357487433782,12.08634031591394,-21.630260992641446,18.60472104622346,42.4469289490833,0.30252739711040194,266.7645166856954
uskmouth,NEWS3_#2T0->NEWS1_#210,6.28353836223203,6.74143865193073,0.14234587431694035,18.95094087431694,42.19094087431694,6.062882624527111,103.63945257347169
swansea-north,RHOS1T->CARM1_305,0.5245034191594544,10.842927264901958,-16.386577968134006,19.94718962626186,41.729410691714385,0.15376688032798208,341.10298527270487
swansea-north,SWAN1_705->LLEL1_303,-0.48273082027402914,11.902807401772906,-20.630919902445058,18.756066517509915,41.43875900544798,0.29036908564260805,166.24731906487582
swansea-north,BFGF3_#1L5->BRIF3_#4L5,22.335275031790164,4.320295192808973,20.313285957240037,33.56328595724003,41.29328595724004,21.699999999999992,102.92753470871048
swansea-north,MGWT1->PP1N1,-4.023277370936373,10.891809835276716,-24.219862798339015,12.25167783994219,38.77301015834083,3.464403573529048,116.131890686108
swansea-north,BRIF3_#1T0->BRIF1_113,10.403706326880362,5.4034663451966285,1.7702551700680225,19.310255170068025,35.25025517006802,11.33608,91.77516678499413
swansea-north,82VE55BW->BRIF1_MAIN1,-10.381616666816562,5.391283800663232,-19.266685218658893,-1.7666852186588926,35.176685218658896,11.312209999999995,91.77354970263606
swansea-north,82VE55BW->82VE35W,10.381616666816562,5.391283800663232,1.7666852186588926,19.266685218658893,35.176685218658896,11.312209999999995,91.77354970263606
swansea-north,82V28CE->82V33N,-8.31639471823794,5.8390748094727885,-17.594646646258504,1.447853353741495,32.29464664625851,10.170531,81.76952332417981
swansea-north,82V28CE->SWAN1_1005,8.31640775595394,5.839017490052128,-1.448313752186591,17.59418624781341,32.29418624781341,10.170531,81.7696515152841
swansea-north,BRIF3_#2T0->BRIF1_#210,9.807290229039099,4.455723988941711,2.763287444120505,17.348287444120505,30.995787444120502,10.35307,94.72832917230444
swansea-north,82VE55BE->82VE61S,9.786643504737922,4.446470587303487,2.7512825364431492,17.31378253644315,30.941282536443147,10.331369999999998,94.72745148743994
swansea-north,82VE55BE->BRIF1_MAIN2,-9.786472840254724,4.446596000770867,-17.311804888241014,-2.756804888241012,30.93930488824101,10.331369999999998,94.72579958180499
swansea-north,82U206W->82U210SW,9.75973251718168,4.435360922072035,2.7492569387755097,17.26425693877551,30.84925693877551,10.30316,94.72562317950687
swansea-north,82U206W->82VE61S,-9.75973251718168,4.435360922072035,-17.26425693877551,-2.7492569387755097,30.84925693877551,10.30316,94.72562317950687
swansea-north,82V33N->82V1N,-9.741958433650357,4.425515248701009,-17.234503420796887,-2.7420034207968875,30.79200342079689,10.283629999999999,94.73268129688017
swansea-north,BRHY3_#1L5->AMMA3_3L5,7.151947922231726,7.032086385476945,0.031827500941223254,21.691339125950922,28.56190841679801,7.151947922231726,100.0
swansea-north,SWAN4_SGT9->SWAN2_SGT9,2.4638718065750576,7.61186749710365,-10.08369415897209,15.183116852240044,28.214240301931344,2.6704611182086326,92.2639086476512
swansea-north,AMMA1_#110->AMMA3_#1T0,-4.996549857297702,7.311211731719771,-19.724214451721053,4.06851653454284,28.066468391669563,3.5251951308680174,141.73824914104512
swansea-north,82C66N->AMMA1_103,-4.995834662505479,7.310552992986976,-19.7217667385732,4.068660488107354,28.06361547382706,3.5244799360757946,141.74671875328966
swansea-north,PP1N1->82C66N,-4.990831881501313,7.302655756943881,-19.703530497380903,4.067845285121967,28.037058610562063,3.5209039621146783,141.74859454285672
swansea-north,82C66S->AMMA1_203,-4.1064353992774345,6.891524856003584,-17.83234953066887,4.761428453438338,25.677039691612762,3.071761632598526,133.6834002905244
swansea-north,PP1S1->82C66S,-4.102847006257272,6.885253168490843,-17.814130205229723,4.756691470413044,25.65340732130157,3.0689008534296334,133.69109013972079
swansea-north,82V28CW->SWAN1_1205,-0.6135011913280919,7.963948528521793,-14.208779683187558,12.061220316812438,25.59877968318756,0.8022139999999998,76.47600158163434
swansea-north,AMMA3_#2T0->AMMA1_#210,4.103929774660329,6.869986138079779,-4.738890118483398,17.79797538540987,25.594440336377993,3.08391994406632,133.0751073015556
upper-boat,UPPB2_SGT2->UPPB3_SGT2,2.351024014326238,6.31015411391084,-8.020120401977294,12.804430400223122,19.859209968917483,1.0131395638850702,232.05332198367654
swansea-north,82V33S->82V28CW,-1.5866283785590631,5.865067726735408,-11.239339389698737,7.585660610301263,19.82683938969874,0.8407420000000001,188.71763020749086
upper-boat,UPPB2_SGT3->UPPB3_SGT3,2.343992583637538,6.289393078386207,-8.00039162987548,12.76528381870337,19.792729984191695,1.0093302633124819,232.23246828494766
swansea-north,TIRJ3_#1T0->TIRJ1_#110,-1.2297846816261582,5.300037779657861,-9.785459488824102,7.404540511175899,18.755459488824105,0.32558400000000004,377.71655905270467
swansea-north,82VE35W->TIRJ1_103,1.226850389681252,5.287699670021759,-7.382518719144798,9.7674812808552,18.707481280855202,0.324828,377.69231398809586
swansea-north,TIRJ3_#2T0->TIRJ1_#210,-0.8215595612232404,4.324577267579467,-7.849670101069,6.7053298989310015,15.397170101068998,0.30290399999999995,271.2277029102424
swansea-north,82V33S->TIRJ1_203,0.8183541846352916,4.3074658009262725,-6.683428163265308,7.811571836734691,15.336571836734691,0.30177,271.1847382560532
upper-boat,DOWT1M->MOUA1_203,-0.03391442032844555,3.234383012798127,-5.373245604174303,5.296553756950013,13.376459299019192,0.6171488075464243,5.495339197571791
upper-boat,UPPB1_1203->DOWT1M,-0.03357770489729623,3.2252387930063215,-5.358802954151388,5.283955138579824,13.335773372810483,0.6153406008378973,5.456767333664335
upper-boat,COEL3N->UPPB3_#2L5,1.2535389630652687,3.5963966756206203,-2.9874861789430267,8.547047153559713,12.711403647549211,1.2159527298940713,103.09109328406801
swansea-north,LAMP3_GT1->LAMP1_#110,0.9573454028911871,3.7497287018424243,-5.017423352999836,7.463732343747521,12.103976710523302,0.15162129595131257,631.4056326220838
swansea-north,LAMP1T->LAMP1_103,-0.9566827059357963,3.745778908170751,-7.45505138916938,5.008299203339975,12.093100860183164,0.15162129595131257,630.9685588250074
swansea-north,CARM3_#2T0->CARM1_#210,0.32953308928275554,3.4540099390017263,-5.142337558771132,6.4188217473804094,11.306609772223648,0.1544820751202053,213.31477391557559
swansea-north,CARM3_#1T0->CARM1_113,0.33845317043296025,3.3936263493994017,-5.037094296750724,6.325426307047658,11.113289524733275,0.16234921783466022,208.47231353935314
upper-boat,MOUA3_#2T0->MOUA1_#210,0.4805475323785681,1.6523935627842756,-2.2888594834632956,3.3627127094126665,9.91671451972792,0.6623457472576157,72.5523692675967
upper-boat,55L7506P38->55L7506P7,-0.8532844773337903,1.5114771394457007,-2.910157288309601,1.7146097066235748,9.420176058449012,0.20844929843872978,409.3486923318186
upper-boat,MOUA3_#4L5->55L7506P7,0.0014339136241167721,1.7646423352546163,-2.7728474951400615,2.6230883756334493,9.411507448147749,0.2083889639294021,0.6880947997815051
upper-boat,FERT3->54L7033P15,-1.1265534667948367,1.7201355328772407,-3.27836862068514,2.2359373790550543,9.0975657170395,0.2683516570766168,419.80492278950067
upper-boat,WATT3_#4L5->PRHS3_2L9,1.1189092697436207,1.708241906890661,-2.2181032436076404,3.2538617999429804,9.04020554746391,0.2665251381902619,419.8137846738025
upper-boat,WATT3_#1L5->WATT3_4L9,-0.37154135819238077,1.3851700475551119,-2.0761881645744085,2.166589322666843,8.07838445879561,0.20870252048284985,178.0243752364803
upper-boat,TONY3_#2L5->FERT3,-1.03479049434395,1.2340847922625813,-2.8602008614652243,0.5119498853911726,7.853005234862081,0.2687799079275911,384.9954791348173
upper-boat,RHIW3_3L9->UPPB3_#5L5,-0.5635005789620479,2.021031352568836,-3.2669447322331004,3.497949719782241,7.697966441106374,0.13238488337565996,425.65326538305663
upper-boat,54L7044P58->CWMC3T,0.5635005789620479,2.021031352568836,-3.497949719782241,3.2669447322331004,7.697966441106374,0.13238488337565996,425.65326538305663
upper-boat,54L7080P21A->UPPB3_#13L5,0.20132542292850103,1.367725338895067,-1.8000531390937435,2.66345595473788,7.073710446442697,0.25496101925574666,78.96321701105033
upper-boat,MOUA3_#3L5->NELS3_2L5,0.5637440222574699,0.8267036201867047,-0.2857545940003975,1.5604270410895535,7.002128232876254,0.11299169085934853,498.92520234891924
