mrid,name,n_windings,container,end1_node,end1_name,end1_kv,end1_r,end1_x,end1_rated_s,end2_node,end2_name,end2_kv,end2_r,end2_x,end2_rated_s,end3_node,end3_name,end3_kv,end3_r,end3_x,end3_rated_s
709d5f6a-095c-4662-af9e-080a8d2f6431,33/11kV 2WT LDOV3_#2H0-LDOV5_2T0,2,a5f88ecf-5baf-448e-8723-b9d8026b0508,86aa5db9-9bfe-452a-845c-c98de3039bf2,LDOV3_#2H0,33.0,1.23667,15.7901,100.0,ab62fd7e-c395-4c18-b245-1a5a24b7052d,LDOV5_2T0,11.0,0.0,0.0,100.0,,,,,,
c92711ca-d2e4-41f9-8682-ed6be0b0a0f0,33/11kV 2WT LFYR3_#1H0-LFYR5_1T0,2,ed422c2c-e91d-4e0e-8bb8-fe066e1f8452,ed909499-8b75-4024-a848-0c02eaaa509d,LFYR3_#1H0,33.0,0.802593,6.55034,100.0,e1faf37a-592a-4ae9-9ef1-1adb105aed5c,LFYR5_1T0,11.0,0.0,0.0,100.0,,,,,,
83b3b84e-ea7c-492c-9d44-2e2cec3bf4c1,33/11kV 2WT LGAD3_#1H0-LGAD5_1T0,2,25f80009-0a8e-4485-9a26-f25fdc54d7b4,29f0da6b-54d6-4742-b095-ce9bad48da81,LGAD3_#1H0,33.0,1.24582,16.1214,100.0,250a4db3-ef0c-4c66-a126-34ed2fef58b5,LGAD5_1T0,11.0,0.0,0.0,100.0,,,,,,
5fc2dd4c-3c99-4e5b-883a-f43ecee07dfa,33/11kV 2WT LGAD3_#2H0-LGAD5_2T0,2,25f80009-0a8e-4485-9a26-f25fdc54d7b4,eeb0a493-68cb-4790-aaee-73b692350fd3,LGAD3_#2H0,33.0,1.2578,16.3826,100.0,37d59477-078f-4220-8794-85824864e28d,LGAD5_2T0,11.0,0.0,0.0,100.0,,,,,,
de9cacbd-3914-45c3-8d05-eedd095f30a3,33/11kV 2WT LIME3_2H0-LIME5_2T0,2,c04b89ff-b581-4075-b32a-4ec69a1c6db6,4b585347-d69e-484c-a0df-5a28bff23e68,LIME3_2H0,33.0,0.512919,11.0533,100.0,c0e0a206-bd09-404a-8384-bfce125ebc65,LIME5_2T0,11.0,0.0,0.0,100.0,,,,,,
4fe6f734-c8bf-4525-9415-b031d2ab39dc,132/33kV 2WT LLAN1_#110-LLAN3_#1T0,2,6df2d2a0-a097-41d0-b31d-204a0e33dea6,28b538d1-1747-46c1-8d3d-1c55b7b7386e,LLAN1_#110,132.0,1.52808,49.1113,100.0,8f6985ef-4368-4eec-b34d-f4d6ca5f931b,LLAN3_#1T0,33.0,0.0,0.0,100.0,,,,,,
9783efda-8868-4810-aa89-99d8b804781a,33/11kV 2WT LLAN3_#1H0-LLAN5_1T0,2,6df2d2a0-a097-41d0-b31d-204a0e33dea6,1e245319-fb98-48b6-8976-c4ae2d5c303d,LLAN3_#1H0,33.0,0.827313,12.4148,100.0,88aa85f9-e362-4eaa-8e51-9a40507c9a21,LLAN5_1T0,11.0,0.0,0.0,100.0,,,,,,
80962eb4-2083-43fa-a4f5-0963426314b7,33/11kV 2WT LLAN3_#2H0-LLAN5_2T0,2,6df2d2a0-a097-41d0-b31d-204a0e33dea6,d6ae2946-a530-4378-88dd-adfe64d7165b,LLAN3_#2H0,33.0,0.837768,12.3342,100.0,9b5f83f7-0c59-4968-86c9-f98368ba6443,LLAN5_2T0,11.0,0.0,0.0,100.0,,,,,,
4982eb6d-b83a-4929-9f02-4e46c60d8357,33/11kV 2WT LLAY3_#1H0-LLAY5_1T0,2,1ecb71ac-3dae-4fc3-8988-d9690b34469d,fea4d228-2f29-4784-b65f-b2d7370ff184,LLAY3_#1H0,33.0,0.833085,11.9354,100.0,dd11a458-6508-46b6-a0b1-b1d9ef45aba1,LLAY5_1T0,11.0,0.0,0.0,100.0,,,,,,
a133000c-2f13-497a-99b0-8098b2f58442,33/11kV 2WT LLAY3_#2H0-LLAY5_2T0,2,1ecb71ac-3dae-4fc3-8988-d9690b34469d,1f8d2f9c-4a93-4f6a-acca-256e2af30897,LLAY3_#2H0,33.0,0.83461,11.979,100.0,37877dd7-bd9f-418b-8dd9-c5ed7e33c8d8,LLAY5_2T0,11.0,0.0,0.0,100.0,,,,,,
bd5a06b0-46c2-4bc2-8ef0-476391592314,33/11kV 2WT LLCY3_#1H0-LLCY5_1T0,2,03c1758a-b13f-40c5-9dc7-298f90cdb53e,3e167146-9cb2-47d9-b520-9310ea5c08d3,LLCY3_#1H0,33.0,0.666141,12.2153,100.0,5c9edcf8-89b8-443f-bb64-2de76d1bd07d,LLCY5_1T0,11.0,0.0,0.0,100.0,,,,,,
89b9c527-a222-4df2-95d7-6a6e8cbb04de,33/11kV 2WT LLCY3_#2H0-LLCY5_2T0,2,03c1758a-b13f-40c5-9dc7-298f90cdb53e,899b461b-1daf-4c30-8f8c-ca47c725e479,LLCY3_#2H0,33.0,0.667012,12.2425,100.0,cc46b5f5-b203-435b-aa3d-b5824c4a1286,LLCY5_2T0,11.0,0.0,0.0,100.0,,,,,,
9768bcd9-d93f-4cf1-ab5f-ed41411b4711,132/11kV 2WT LLEL1_#110-LLEL5_1T0,2,81c1990a-47aa-4386-910f-daebdc09a45f,3cb686f3-d355-4a52-b2e5-f4cbe63b8d1d,LLEL1_#110,132.0,4.61736,158.489,100.0,cc19e5e1-2efa-434c-9d75-fe94e0d5f616,LLEL5_1T0,11.0,0.0,0.0,100.0,,,,,,
5dab6c5c-81aa-483a-b743-20f1428f6db3,132/11kV 2WT LLEL1_#210-LLEL5_2T0,2,81c1990a-47aa-4386-910f-daebdc09a45f,2215be1d-b4e9-49ee-955a-0f0b9bf5f1a5,LLEL1_#210,132.0,9.93168,140.437,100.0,3981cf70-c607-44bc-b0c5-d090af74f7b7,LLEL5_2T0,11.0,0.0,0.0,100.0,,,,,,
4a676311-c2e3-4de7-9e2a-eb3c0e0a5b64,33/11kV 2WT LRHI3_#1H0-LRHI5_1T0,2,6544782a-b438-4186-b6b4-752eea6166f9,392c47a1-f73b-4f54-9f31-59278dd756c6,LRHI3_#1H0,33.0,1.23787,15.9124,100.0,912933d7-e004-445d-a2f8-9bc168986b80,LRHI5_1T0,11.0,0.0,0.0,100.0,,,,,,
e3566923-dda3-4bf4-8685-0c8db38995de,33/11kV 2WT LRHI3_#2H0-LRHI5_2T0,2,6544782a-b438-4186-b6b4-752eea6166f9,bb4364f6-429f-4099-abeb-2abbcea76288,LRHI3_#2H0,33.0,1.23787,15.9124,100.0,5b083418-f126-4e06-a593-4cc681936a3a,LRHI5_2T0,11.0,0.0,0.0,100.0,,,,,,
c2f0be1c-43f7-4065-88fd-ab04980944c7,33/11kV 2WT LWNI3_#1H0-LWNI5_1T0,2,81310286-14a9-450e-ac99-fe35d679c511,98a164c4-780f-4dc2-a1ae-43f489cf17b1,LWNI3_#1H0,33.0,1.26237,15.753,100.0,2c4c9b17-470b-40ba-a789-e9ec78bb2738,LWNI5_1T0,11.0,0.0,0.0,100.0,,,,,,
250524c7-c951-4fa5-9e1e-1b1ae2f9b61b,33/11kV 2WT LWNI3_#2H0-LWNI5_2T0,2,81310286-14a9-450e-ac99-fe35d679c511,fbf4fe0c-ce28-4b03-9a54-dea760c28d78,LWNI3_#2H0,33.0,0.742045,6.05266,100.0,ab6278da-4572-4f4e-864d-eac14264bde9,LWNI5_2T0,11.0,0.0,0.0,100.0,,,,,,
394a48a1-3cf5-40e0-82f4-f46868e22499,33/11kV 2WT MAER3_#1H0-MAER5_1T0,2,af801932-05c9-4e86-8af6-83844269ed6c,d55c3d0d-a8ab-4e1c-9366-94c2abf2ac5c,MAER3_#1H0,33.0,0.0001089,11.7612,100.0,59bb0f6a-2d16-4e17-849d-10b6b40c6561,MAER5_1T0,11.0,0.0,0.0,100.0,,,,,,
e545ccd1-9a6a-4f55-932f-9783652d3fe6,33/11kV 2WT MAER3_#2H0-MAER5_2T0,2,af801932-05c9-4e86-8af6-83844269ed6c,f3b1ed14-5fa3-4e6f-89d0-e80027bce4bf,MAER3_#2H0,33.0,0.0001089,11.7503,100.0,3c25de0e-1b25-4d84-a959-bfaf0f6acabb,MAER5_2T0,11.0,0.0,0.0,100.0,,,,,,
